x,y,distance,angle,is_header,is_volley,is_big_chance,is_penalty,is_free_kick,defenders_in_cone,gk_set,centrality,goal,dist_angle,match_id,competition
110.4,34.6,11.015,0.6301,0,1,1,0,0,0,1,0.865,0,6.94,3857268,WC 2022
105.0,56.4,22.225,0.246,0,0,0,0,0,3,1,0.59,0,5.467,3857268,WC 2022
107.7,45.9,13.642,0.5244,0,0,0,0,0,4,1,0.853,0,7.154,3857268,WC 2022
104.9,53.9,20.524,0.2897,0,0,0,0,0,1,1,0.653,0,5.946,3857268,WC 2022
112.3,50.2,12.78,0.396,0,0,0,0,0,0,1,0.745,0,5.061,3857268,WC 2022
98.1,44.7,22.399,0.3462,0,0,0,0,0,4,1,0.882,0,7.754,3857268,WC 2022
108.1,56.3,20.182,0.2387,0,0,0,0,0,2,1,0.593,0,4.816,3857268,WC 2022
104.4,37.5,15.799,0.4907,0,0,0,0,0,3,1,0.938,0,7.752,3857268,WC 2022
111.1,34.1,10.678,0.6282,1,0,1,0,0,2,1,0.853,0,6.708,3857268,WC 2022
111.8,51.3,13.962,0.3514,0,1,0,0,0,0,1,0.718,0,4.906,3857268,WC 2022
109.0,36.1,11.671,0.6319,0,1,1,0,0,0,1,0.903,1,7.375,3857268,WC 2022
112.6,42.5,7.811,0.9207,0,1,1,0,0,0,1,0.938,0,7.192,3857268,WC 2022
100.5,38.5,19.558,0.4024,0,1,0,0,0,7,1,0.963,0,7.87,3857268,WC 2022
111.7,36.9,8.86,0.8156,1,0,1,0,0,1,1,0.922,0,7.227,3857268,WC 2022
97.8,52.7,25.576,0.2714,0,0,0,0,0,3,1,0.682,0,6.942,3857268,WC 2022
98.3,34.5,22.386,0.3436,0,0,0,0,0,4,1,0.863,0,7.693,3857268,WC 2022
101.7,54.6,23.41,0.2685,0,0,0,0,0,3,1,0.635,0,6.286,3857268,WC 2022
103.9,43.0,16.377,0.4722,0,0,0,0,0,2,1,0.925,0,7.733,3857268,WC 2022
103.1,38.1,17.006,0.4595,0,0,0,0,0,2,1,0.953,0,7.815,3857268,WC 2022
108.2,44.1,12.492,0.5931,1,0,0,0,0,2,1,0.897,0,7.409,3857268,WC 2022
112.5,43.5,8.276,0.852,1,0,1,0,0,3,1,0.912,0,7.051,3857268,WC 2022
96.6,39.5,23.405,0.3385,0,0,0,0,0,3,1,0.988,0,7.922,3857268,WC 2022
111.7,37.5,8.668,0.8432,1,0,1,0,0,1,1,0.938,0,7.309,3857268,WC 2022
98.0,55.5,26.912,0.2436,0,0,0,0,0,1,1,0.613,0,6.555,3857268,WC 2022
114.3,59.2,20.028,0.1179,0,0,0,0,0,1,1,0.52,0,2.36,3857268,WC 2022
111.1,36.1,9.717,0.7372,1,0,1,0,0,2,1,0.903,0,7.163,3857268,WC 2022
114.9,30.0,11.225,0.3551,0,1,0,0,0,3,1,0.75,0,3.987,3857269,WC 2022
112.1,34.0,9.92,0.6542,0,1,1,0,0,0,1,0.85,0,6.49,3857269,WC 2022
94.3,39.7,25.702,0.3088,0,1,0,0,0,6,1,0.993,0,7.936,3857269,WC 2022
90.1,46.2,30.536,0.2553,0,0,0,0,0,4,1,0.845,0,7.796,3857269,WC 2022
104.2,41.2,15.846,0.4933,1,0,0,0,0,1,1,0.97,0,7.817,3857269,WC 2022
93.2,45.0,27.262,0.2867,0,0,0,0,0,5,1,0.875,0,7.816,3857269,WC 2022
115.0,43.5,6.103,1.0825,1,0,1,0,0,2,1,0.912,0,6.607,3857269,WC 2022
